feature_name,mean_absolute_shap_value,rank
w_temp_min,0.057266314520852755,1
w_temp_mean,0.04746809875533623,2
w_temp_max,0.04653725347564965,3
c_acc_x_mean,0.030398675721172424,4
w_acc_z_max,0.026227025968183507,5
c_acc_x_max,0.023672334904363355,6
w_hr_min,0.02131139668237971,7
c_ecg_std,0.020926356798696824,8
w_acc_mag_max,0.02007806142580147,9
w_acc_mag_mean,0.01928528717097787,10
w_hr_max,0.01899623171150883,11
w_hr_mean,0.018701941278765125,12
w_acc_z_min,0.01857233123988832,13
c_acc_mag_min,0.018177888543441066,14
w_acc_y_min,0.015622615091074028,15
w_acc_z_mean,0.014180208370531891,16
c_resp_max,0.013631481944648994,17
w_acc_x_mean,0.013560546740715568,18
w_acc_mag_std,0.013363889650922622,19
w_eda_max,0.013326705740296901,20
w_eda_mean,0.013190671650418873,21
w_acc_z_std,0.013153347846917723,22
c_ecg_max,0.013112409046435784,23
w_acc_y_mean,0.012449590233801894,24
w_eda_min,0.012253882193590974,25
c_acc_x_min,0.011685078205477378,26
c_acc_z_mean,0.011599711765960979,27
w_acc_x_std,0.011465133504528102,28
c_temp_max,0.01100111848327519,29
c_temp_mean,0.010974836120579727,30
w_acc_mag_min,0.010179442165317184,31
w_hr_std,0.009290837144046321,32
w_acc_y_max,0.009225563313348723,33
c_eda_std,0.008869448350688857,34
c_emg_mean,0.00866506231695071,35
w_acc_x_min,0.008498608270769467,36
w_eda_std,0.008416237110578364,37
c_acc_x_std,0.00814564487320198,38
w_bvp_max,0.007799078473931934,39
c_acc_y_max,0.007794661537420038,40
c_acc_z_max,0.007628137231740862,41
c_ecg_min,0.007566741576204321,42
w_acc_x_max,0.006998367870397278,43
c_emg_std,0.006989900081560288,44
w_bvp_std,0.006584215334927294,45
c_acc_mag_std,0.006095634964841276,46
c_acc_z_min,0.005950335721488942,47
c_resp_mean,0.005756528404795153,48
c_eda_mean,0.0056210620654179025,49
c_eda_min,0.005609764672922379,50
w_acc_y_std,0.0047123710974870435,51
c_acc_mag_mean,0.004660055776119234,52
w_temp_std,0.004585052275604978,53
c_emg_max,0.004341258764766341,54
c_acc_y_mean,0.0041762590082791325,55
w_bvp_min,0.003946877899699899,56
c_acc_y_min,0.0038339371718691677,57
c_resp_min,0.0037884908375888137,58
c_eda_max,0.003509001390975317,59
c_resp_std,0.0032689447297891655,60
c_emg_min,0.003169256532324208,61
c_temp_min,0.003091094943144315,62
c_acc_y_std,0.0028650688560282935,63
c_acc_mag_max,0.0027875794870790283,64
c_acc_z_std,0.001569371342831512,65
c_ecg_mean,0.0010440896375305856,66
w_bvp_mean,0.0007946761024314045,67
c_temp_std,8.54010707354027e-05,68
